Id,cuitan,sentimen
215,@kring_pajak  selamat siang izin menanyakan bagaimana cara input BPN atas pembayaran VAT OS sebagai FP yang dipersamakan sebagai faktur pajak masukan di coretax? Terima kasih,netral
216,Jika bukti potong sudah terbit artinya #KawanPajak siap untuk membuat dan melaporkan SPT Tahunan Tahun Pajak 2025 melalui Coretax DJP Pelajari panduan lengkapnya di: http://skemenkeugoid/infocoretax,netral
217,Materi sosialisasi mencakup:  Pembuatan bukti potong  Proses pembayaran pajak  Pelaporan SPT Masa melalui sistem Coretax DJP Dengan pemahaman yang lebih baik diharapkan proses administrasi pajak berjalan lebih mudah dan akurat  2/3,netral
218,Hai Kak Notifikasi tersebut muncul karena NIK belum terdaftar dalam sistem Coretax Sehingga sistem memberikan opsi kepada Wajib Pajak untuk menggunakan TIN 9990000000999000 sebagai TIN sementara penerima penghasilan pada bukti potong PPh Pasal 21  Agar bukti potong dapat,netral
219,#KawanPajak bagi WP Badan dengan tahun buku yang tidak sama dengan tahun kalender (misalnya Agustus 2024–Juli 2025) pelaporan SPT Tahunan PPh Tahun Pajak 2025 sudah dilakukan lewat Coretax mulai Agustus 2025  Pastikan akun WP Badan dan PIC sudah aktif serta Kode Otorisasi DJP,netral
220,@kring_pajak  mau tanya apabila ada wp expat (wna punya npwp) berhenti bekerja dan meninggalkan indonesia juli 2025 Apakah wp op tsb harus menyampaikan spt tahunan pph tahun pajak 2025? Apakah npwp dapat diajukan NE? Bagaimana prosedurnya? Apakah bisa melalui coretax? Trims,netral
221,#KawanPajak bagi WP Badan dengan tahun buku yang tidak sama dengan tahun kalender (misalnya Agustus 2024–Juli 2025) pelaporan SPT Tahunan PPh Tahun Pajak 2025 sudah dilakukan lewat Coretax DJP mulai Agustus 2025,netral
222,Bertempat di KP2KP Sampang Kajari Sampang Ibu Fadilah Helmi SH MH CSSL didampingi Bpk Athur Maralaut Silalahi SH MH selaku Kasi Datun menghadiri sekaligus menjadi narasumber pada kegiatan Sosialisasi Sistem Inti Administrasi Perpajakan (coretax),netral
223,Ya Allah dekatkan lah hamba dengan pekerjaan yg gajinya besar job desc nya emang hamba jago sampe ngerasa gabut lingkungan kerjanya enak kerja nya wfa dan uang gajinya banyak yg bisa ditabung Aamiin Btw der kalo kamu kepikiran makan gaji buta gimana kalo kamu buat project gimuk kantor gimana? Misal buat tutorial utk proses kerja di divisi kamu atau accounting pegang coretax gasih? Kl pegang buat tutorialnya per-kode pajak gitu? Atau jadwal kegiatan divisi akunting kamu?,netral
224,Hai Kak  Untuk perekaman Dokumen Lain Pajak Keluaran di Coretax silakan dilakukan sesuai langkah berikut: 1 Login ke akun PIC jangan lupa untuk melakukan proses “Impersonate”,netral
225,#KawanPajak Mulai 2026 pelaporan SPT Tahunan PPh 2025 dilakukan lewat Coretax DJP Setelah aktivasi akun buat Kode Otorisasi/Sertifikat Digital (KO/SD) untuk menandatangani SPT Caranya? Login ke Coretax DJP > Portal Saya > Permintaan KO/SD  Simak langkah lengkapnya berikut!,netral
